이름,가격,연식,주행거리,연료,배기량,연비,구동방식,최대토크,보험이력등록,제조사,마력,보증여부
YF쏘나타 2.0,4800000,140,133801,가솔린,1998,12,전륜 FF,36,등록,현대,203,0
NF쏘나타 트랜스폼,2500000,192,180787,LPG,1998,9,전륜 FF,19,등록,현대,141,0
YF쏘나타 2.0,5700000,146,87556,가솔린,1998,12.8,전륜 FF,20.2,등록,현대,165,0
쏘나타 2.0,15990000,42,85033,가솔린,1999,12.9,전륜 FF,20,등록,현대,160,1
YF쏘나타 2.0,4700000,155,47757,가솔린,1998,14,전륜 FF,20.5,등록,현대,172,0
LF쏘나타 2.0,6600000,94,130763,가솔린,1999,12.6,전륜 FF,20.5,등록,현대,168,0
쏘나타 더 브릴리언트,5990000,128,78794,가솔린,1999,14,전륜 FF,20.5,등록,현대,172,0
LF쏘나타 하이브리드,16000000,70,142000,기타,1999,12,전륜 FF,36,등록,현대,203,0
쏘나타 뉴 라이즈,13600000,66,100603,가솔린,1999,12,전륜 FF,20,등록,현대,163,0
LF쏘나타 1.7,12500000,91,70059,디젤,1685,16.5,전륜 FF,34.7,등록,현대,141,0
쏘나타 2.0,21700000,47,19725,가솔린,1999,12.9,전륜 FF,20,등록,현대,160,1
쏘나타 2.0,18700000,41,108105,가솔린,1999,12.9,전륜 FF,20,등록,현대,160,1
LF쏘나타,6500000,104,194683,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
LF쏘나타 2.0,13200000,108,32581,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
NF쏘나타 트랜스폼,2500000,175,152965,LPG,1998,9,전륜 FF,19,등록,현대,141,0
쏘나타,13000000,47,104472,LPG,1999,9.5,전륜 FF,19.5,등록,현대,146,1
YF쏘나타 2.0,2900000,151,150000,가솔린,1998,14,전륜 FF,20.5,등록,현대,172,0
YF쏘나타 2.0,3900000,147,100000,LPG,1998,10.5,전륜 FF,20,등록,현대,157,0
쏘나타 더 브릴리언트,8690000,112,134879,가솔린,1999,14,전륜 FF,20.5,미등록,현대,172,0
YF쏘나타,4900000,122,141689,가솔린,1998,14,전륜 FF,20.5,미등록,현대,172,0
쏘나타 하이브리드,7500000,129,124000,기타,1999,21,전륜 FF,18.3,등록,현대,150,0
LF쏘나타 2.0,7200000,96,146000,LPG,1999,9.6,전륜 FF,19.8,등록,현대,151,0
쏘나타 더 브릴리언트,3990000,114,178000,가솔린,1999,14.7,전륜 FF,20.5,등록,현대,172,0
LF쏘나타 2.0,6500000,100,135000,LPG,1999,9.6,전륜 FF,19.8,등록,현대,151,0
YF쏘나타 2.0,4700000,155,136000,가솔린,1998,13,전륜 FF,20.2,등록,현대,165,0
